trial, epigraphRestored, ave_fitness, ave_generations, num_runs, population_size, generations, crossover_rate, mutation_rate, elite_size, improveThresh, stagThresh,best_epigraph,ave_fitness,ave_generations,population_size,generations,crossover_rate,mutation_rate,elite_size,num_runs,improveThresh,stagThresh
120,,,,,,,,,,,,και αλεξανδρε ουδις των,0.8933016824694227,23.2,500.0,250.0,0.9,0.1,2.0,10.0,0.01,20.0
121,,,,,,,,,,,,και αλεξανδρε ουδις του,0.8770859760597416,54.0,500.0,1000.0,0.9,0.1,0.0,10.0,0.001,50.0
122,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.8663502730795449,104.6,500.0,500.0,0.6,0.0,2.0,25.0,0.001,100.0
123,,,,,,,,,,,,ουδις αλεξανδρε ουδις ουδις,0.7807893829932713,51.333333333333336,250.0,250.0,0.6,0.0,0.0,15.0,0.1,50.0
124,,,,,,,,,,,,ος αλεξανδρε ουδις δια,0.8046680342366355,21.28,250.0,500.0,0.1,0.0,10.0,25.0,0.1,20.0
125,,,,,,,,,,,,και αλεξανδρε ουδις ετους,0.9661762750040946,21.1,1000.0,500.0,0.6,0.1,10.0,10.0,0.1,20.0
126,,,,,,,,,,,,τους αλεξανδρε ουδις το,0.7820988528687807,101.4,200.0,1000.0,0.9,0.01,10.0,10.0,0.1,100.0
127,,,,,,,,,,,,εκ αλεξανδρε ουδις μηνος,0.7457092988562618,101.1,100.0,250.0,0.6,0.05,2.0,10.0,0.1,100.0
128, μνημιον αλεξανδρε ουδις μηνος,0.7081217589845858,28.3,10.0,100.0,1000.0,0.6,0.01,1.0,0.01,25.0,,,,,,,,,,,
129, εν αλεξανδρε ουδις ετους,0.8908247174973586,54.48,25.0,500.0,500.0,0.3,0.1,1.0,0.001,50.0,,,,,,,,,,,
130, αγιο αλεξανδρε ουδις εκτισθη,0.6245782895609261,22.16,25.0,20.0,1000.0,0.1,0.1,1.0,0.1,20.0,,,,,,,,,,,
129,,,,,,,,,,,,εν αλεξανδρε ουδις ετους,0.8908247174973586,54.48,500.0,500.0,0.3,0.1,0.0,25.0,0.001,50.0
130,,,,,,,,,,,,αγιο αλεξανδρε ουδις εκτισθη,0.6245782895609261,22.16,20.0,1000.0,0.1,0.1,0.0,25.0,0.1,20.0
131, ουδις αλεξανδρε ουδις ουδις,0.828099206547428,104.3,10.0,200.0,500.0,0.1,0.05,1.0,0.01,100.0,,,,,,,,,,,
132, αυτου αλεξανδρε ουδις ετων,0.7236924615008519,103.96,25.0,100.0,1000.0,0.9,0.01,5.0,0.001,100.0,,,,,,,,,,,
